,undergrad,grad,source,target,job,counts
0,Accounting,Accounting MS,0,1,,100.0
5,Accounting,MBA,0,14,,40.0
7,Accounting,Real Estate MS,0,19,,31.42857142857143
9,Accounting,Taxation MS,0,21,,88.57142857142857
11,Architecture And Environmental Design,Real Estate MS,2,19,,30.0
12,Arts And Humanities-Other,Accounting MS,3,1,,30.0
23,Banking and Finance,Accounting MS,4,1,,40.0
29,Banking and Finance,MBA,4,14,,34.285714285714285
32,Banking and Finance,Real Estate MS,4,19,,38.57142857142857
34,Banking and Finance,Taxation MS,4,21,,31.42857142857143
48,Business Administration And Management,Taxation MS,5,21,,45.714285714285715
44,Business Administration And Management,Real Estate MS,5,19,,50.0
35,Business Administration And Management,Accounting MS,5,1,,55.714285714285715
41,Business Administration And Management,MBA,5,14,,55.714285714285715
54,Communications And Journalism,MBA,6,14,,41.42857142857143
57,Communications And Journalism,Real Estate MS,6,19,,37.142857142857146
60,Communications And Journalism,Taxation MS,6,21,,30.0
71,Computer And Information Sciences,Real Estate MS,7,19,,30.0
61,Computer And Information Sciences,Accounting MS,7,1,,30.0
67,Computer And Information Sciences,MBA,7,14,,32.85714285714286
82,Economics,Real Estate MS,8,19,,31.42857142857143
84,Economics,Taxation MS,8,21,,32.85714285714286
73,Economics,Accounting MS,8,1,,40.0
79,Economics,MBA,8,14,,40.0
93,Engineering-Other,Accounting MS,9,1,,30.0
99,Engineering-Other,MBA,9,14,,35.714285714285715
102,Engineering-Other,Real Estate MS,9,19,,30.0
104,Health And Medical Sciences,Accounting MS,10,1,,34.285714285714285
110,Health And Medical Sciences,MBA,10,14,,35.714285714285715
117,History,Accounting MS,11,1,,30.0
122,History,MBA,11,14,,31.42857142857143
126,Jewish Studies,MBA,12,14,,35.714285714285715
127,Jewish Studies,Real Estate MS,12,19,,30.0
131,Jewish Studies,Taxation MS,12,21,,30.0
142,Law,Taxation MS,13,21,,30.0
132,Law,Accounting MS,13,1,,32.85714285714286
137,Law,MBA,13,14,,31.42857142857143
143,Mathematical Sciences,Accounting MS,15,1,,32.85714285714286
153,Mathematical Sciences,Taxation MS,15,21,,30.0
154,Other,Accounting MS,16,1,,30.0
159,Other,MBA,16,14,,30.0
175,Political Science,MBA,17,14,,31.42857142857143
176,Political Science,Real Estate MS,17,19,,30.0
178,Political Science,Taxation MS,17,21,,30.0
184,Psychology,MBA,18,14,,32.85714285714286
179,Psychology,Accounting MS,18,1,,30.0
193,Sociology,MBA,20,14,,30.0
0,,MBA,14,22,Financial services sales agents,71.42857142857143
1,,Accounting MS,1,23,Economist,71.42857142857143
2,,Real Estate MS,19,24,"Property, real estate, and 
community association managers",71.42857142857143
